Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:258885 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:259679 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:260467 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:261266 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:262086 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:262866 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:263601 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:264372 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:265154 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:265938 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:266750 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:267580 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:268391 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:269161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(81 ms)
start:269941 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(76 ms)
start:270688 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:271438 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:272209 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:273005 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(91 ms)
start:273781 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:274564 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:275342 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:276154 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(106 ms)
start:276923 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(79 ms)
